"","state","county","primary_city","longitude","latitude","estimated_population","name","Value","Category.Range"
"3224","NY","Richmond","Staten Island",-74.14,40.58,50774,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3225","NY","Richmond","Staten Island",-74.14,40.58,0,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3226","NY","Richmond","Staten Island",-74.14,40.58,68561,"new york,richmond",514.9,"473.9 - 541.2 (647)"
"3227","NY","Bronx","Bronx",-73.87,40.84,31477,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3228","NY","Bronx","Bronx",-73.87,40.84,56277,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3229","NY","Bronx","Bronx",-73.87,40.84,57691,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3230","NY","Bronx","Bronx",-73.87,40.84,22387,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3231","NY","Bronx","Bronx",-73.87,40.84,25139,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3232","NY","Bronx","Bronx",-73.87,40.84,58750,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3233","NY","Bronx","Bronx",-73.87,40.84,48779,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3234","NY","Bronx","Bronx",-73.87,40.84,50085,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3235","NY","Bronx","Bronx",-73.87,40.84,30434,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3236","NY","Bronx","Bronx",-73.87,40.84,39507,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3237","NY","Bronx","Bronx",-73.87,40.84,35421,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3238","NY","Bronx","Bronx",-73.87,40.84,57854,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3239","NY","Bronx","Bronx",-73.87,40.84,50313,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3240","NY","Bronx","Bronx",-73.87,40.84,3381,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3241","NY","Bronx","Bronx",-73.87,40.84,30798,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3242","NY","Bronx","Bronx",-73.87,40.84,47658,"new york,bronx",472.2,"427.3 - 473.8 (643)"
"3243","NY","Bronx","Bronx",-73.87,40.84,64907,"new york,bronx",472.2,"427.3 - 473.8 (643)"
