"","state","county","primary_city","longitude","latitude","estimated_population","name","Value","Category.Range"
"3023","NJ","Middlesex","Sayreville",-74.32,40.46,16564,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3024","NJ","Somerset","Somerset",-74.48,40.49,42921,"new jersey,somerset",339,"93.8 - 378.0 (645)"
"3025","NJ","Somerset","Somerset",-74.48,40.49,654,"new jersey,somerset",339,"93.8 - 378.0 (645)"
"3026","NJ","Somerset","Somerville",-74.61,40.57,19420,"new jersey,somerset",339,"93.8 - 378.0 (645)"
"3027","NJ","Middlesex","South Amboy",-74.29,40.47,18878,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3028","NJ","Somerset","South Bound Brook",-74.52,40.55,3957,"new jersey,somerset",339,"93.8 - 378.0 (645)"
"3029","NJ","Middlesex","South River",-74.37,40.44,13440,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3030","NJ","Middlesex","Spotswood",-74.39,40.39,7032,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3031","NJ","Hunterdon","Stanton",-74.81,40.58,0,"new jersey,hunterdon",324.1,"93.8 - 378.0 (645)"
"3032","NJ","Warren","Stewartsville",-75.1,40.69,6042,"new jersey,warren",424.8,"378.1 - 427.2 (645)"
"3033","NJ","Hunterdon","Three Bridges",-74.8,40.52,978,"new jersey,hunterdon",324.1,"93.8 - 378.0 (645)"
"3034","NJ","Hunterdon","Whitehouse",-74.76,40.62,0,"new jersey,hunterdon",324.1,"93.8 - 378.0 (645)"
"3035","NJ","Hunterdon","Whitehouse Station",-74.76,40.6,8570,"new jersey,hunterdon",324.1,"93.8 - 378.0 (645)"
"3036","NJ","Somerset","Zarephath",-74.56,40.53,0,"new jersey,somerset",339,"93.8 - 378.0 (645)"
"3037","NJ","Middlesex","Edison",-74.36,40.52,0,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3038","NJ","Middlesex","New Brunswick",-74.44,40.48,28187,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3039","NJ","Middlesex","North Brunswick",-74.48,40.45,34952,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3040","NJ","Middlesex","New Brunswick",-74.44,40.48,1450,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3041","NJ","Middlesex","Highland Park",-74.42,40.5,11275,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3042","NJ","Middlesex","New Brunswick",-74.44,40.48,0,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3043","NJ","Middlesex","New Brunswick",-74.44,40.48,0,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3044","NJ","Middlesex","New Brunswick",-74.45,40.48,0,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3045","NJ","Middlesex","New Brunswick",-74.44,40.48,0,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3046","NJ","Middlesex","New Brunswick",-74.48,40.45,0,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3047","NJ","Middlesex","New Brunswick",-74.44,40.48,0,"new jersey,middlesex",372.8,"93.8 - 378.0 (645)"
"3048","NY","New York","New York",-73.99,40.71,16553,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3049","NY","New York","New York",-73.99,40.71,70604,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3050","NY","New York","New York",-73.99,40.71,36569,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3051","NY","New York","New York",-73.99,40.71,2909,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3052","NY","New York","New York",-73.99,40.71,6293,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3053","NY","New York","New York",-73.99,40.71,2849,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3054","NY","New York","New York",-73.99,40.71,5396,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3055","NY","New York","New York",-73.99,40.71,732,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3056","NY","New York","New York",-73.99,40.71,42731,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3057","NY","New York","New York",-73.99,40.71,22785,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3058","NY","New York","New York",-73.99,40.71,38784,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3059","NY","New York","New York",-73.99,40.71,17738,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3060","NY","New York","New York",-73.99,40.71,24199,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3061","NY","New York","New York",-73.99,40.71,24292,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3062","NY","New York","New York",-74,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3063","NY","New York","New York",-73.99,40.71,40683,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3064","NY","New York","New York",-73.99,40.71,19975,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3065","NY","New York","New York",-73.99,40.71,5928,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3066","NY","New York","New York",-73.99,40.71,31889,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3067","NY","New York","New York",-73.99,40.71,1926,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3068","NY","New York","New York",-73.95,40.77,42627,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3069","NY","New York","New York",-73.99,40.71,29014,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3070","NY","New York","New York",-73.99,40.71,48044,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3071","NY","New York","New York",-73.99,40.71,47261,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3072","NY","New York","New York",-73.99,40.71,70190,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3073","NY","New York","New York",-73.99,40.71,24221,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3074","NY","New York","New York",-73.99,40.71,37948,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3075","NY","New York","New York",-73.99,40.71,36525,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3076","NY","New York","New York",-73.99,40.71,48403,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3077","NY","New York","New York",-73.99,40.71,17771,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3078","NY","New York","New York",-73.99,40.71,40901,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3079","NY","New York","New York",-73.99,40.71,45758,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3080","NY","New York","New York",-73.99,40.71,45474,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3081","NY","New York","New York",-73.99,40.71,32614,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3082","NY","New York","New York",-73.99,40.71,20395,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3083","NY","New York","New York",-73.99,40.71,21944,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3084","NY","New York","New York",-73.99,40.71,13151,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3085","NY","New York","New York",-73.99,40.71,15088,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3086","NY","New York","New York",-73.99,40.71,17839,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3087","NY","New York","New York",-73.99,40.71,33218,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3088","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3089","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3090","NY","New York","New York",-73.99,40.71,6218,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3091","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3092","NY","New York","New York",-74.01,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3093","NY","New York","New York",-74.01,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3094","NY","New York","New York",-74.01,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3095","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3096","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3097","NY","New York","New York",-73.96,40.76,18690,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3098","NY","New York","New York",-73.99,40.71,3509,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3099","NY","New York","New York",-73.99,40.75,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3100","NY","New York","New York",-73.95,40.77,16912,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3101","NY","New York","New York",-74,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3102","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3103","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3104","NY","New York","New York",-73.98,40.77,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3105","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3106","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3107","NY","New York","New York",-74,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3108","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3109","NY","New York","New York",-74,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3110","NY","New York","New York",-73.99,40.75,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3111","NY","New York","New York",-74,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3112","NY","New York","New York",-73.99,40.71,431,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3113","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3114","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3115","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3116","NY","New York","New York",-73.99,40.71,381,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3117","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3118","NY","New York","New York",-73.99,40.71,598,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3119","NY","New York","New York",-73.99,40.71,449,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3120","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3121","NY","New York","New York",-73.99,40.71,0,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3122","NY","New York","New York",-73.99,40.71,1302,"new york,new york",330.8,"93.8 - 378.0 (645)"
"3123","NY","New York","New York",-73.99,40.71,395,"new york,new york",330.8,"93.8 - 378.0 (645)"
