State,county,Percent _bachelor
PR,Arroyo Municipio,14.0
PR,Barceloneta Municipio,19.9
PR,Barranquitas Municipio,18.3
PR,Bayamón Municipio,28.6
PR,Cabo Rojo Municipio,26.0
PR,Caguas Municipio,30.6
PR,Camuy Municipio,20.6
PR,Canóvanas Municipio,21.7
PR,Carolina Municipio,31.5
PR,Cataño Municipio,19.4
PR,Cayey Municipio,22.9
PR,Ceiba Municipio,18.9
PR,Ciales Municipio,15.1
PR,Cidra Municipio,23.5
PR,Coamo Municipio,21.5
PR,Comerío Municipio,11.3
PR,Corozal Municipio,16.8
PR,Culebra Municipio,15.5
PR,Dorado Municipio,30.3
PR,Fajardo Municipio,23.5
PR,Florida Municipio,12.5
PR,Guánica Municipio,15.8
PR,Guayama Municipio,19.9
PR,Guayanilla Municipio,23.0
PR,Guaynabo Municipio,45.6
PR,Gurabo Municipio,34.2
PR,Hatillo Municipio,24.8
PR,Hormigueros Municipio,22.3
PR,Humacao Municipio,22.8
PR,Isabela Municipio,22.2
PR,Jayuya Municipio,17.5
PR,Juana Díaz Municipio,25.5
PR,Juncos Municipio,19.2
PR,Lajas Municipio,15.2
PR,Lares Municipio,18.1
PR,Las Marías Municipio,14.0
PR,Las Piedras Municipio,20.8
PR,Loíza Municipio,14.3
PR,Luquillo Municipio,19.5
PR,Manatí Municipio,22.1
PR,Maricao Municipio,9.9
PR,Maunabo Municipio,18.0
PR,Mayagüez Municipio,25.1
PR,Moca Municipio,18.8
PR,Morovis Municipio,16.9
PR,Naguabo Municipio,19.1
PR,Naranjito Municipio,16.5
PR,Orocovis Municipio,16.3
PR,Patillas Municipio,15.8
PR,Peñuelas Municipio,22.4
PR,Ponce Municipio,26.6
PR,Quebradillas Municipio,18.4
PR,Rincón Municipio,23.3
PR,Río Grande Municipio,21.2
PR,Sabana Grande Municipio,19.6
PR,Salinas Municipio,17.9
PR,San Germán Municipio,23.4
PR,San Juan Municipio,36.2
PR,San Lorenzo Municipio,19.9
PR,San Sebastián Municipio,18.3
PR,Santa Isabel Municipio,24.1
PR,Toa Alta Municipio,30.0
PR,Toa Baja Municipio,25.6
PR,Trujillo Alto Municipio,34.6
PR,Utuado Municipio,18.1
PR,Vega Alta Municipio,21.0
PR,Vega Baja Municipio,20.7
PR,Vieques Municipio,20.6
PR,Villalba Municipio,20.1
PR,Yabucoa Municipio,18.6
PR,Yauco Municipio,24.6
