County,State,Value,Category Range
Cochise,AZ,400.6,378.1 - 427.2 (645)
Alexander,NC,400.8,378.1 - 427.2 (645)
Judith Basin,MT,400.8,378.1 - 427.2 (645)
Bell,TX,400.8,378.1 - 427.2 (645)
Marquette,WI,400.9,378.1 - 427.2 (645)
Washburn,WI,400.9,378.1 - 427.2 (645)
Audubon,IA,400.9,378.1 - 427.2 (645)
Louisa,VA,401,378.1 - 427.2 (645)
Kane,UT,401,378.1 - 427.2 (645)
Hood River,OR,401.1,378.1 - 427.2 (645)
Richland,WI,401.2,378.1 - 427.2 (645)
Dimmit,TX,401.3,378.1 - 427.2 (645)
Posey,IN,401.4,378.1 - 427.2 (645)
Brazos,TX,401.5,378.1 - 427.2 (645)
Kootenai,ID,401.9,378.1 - 427.2 (645)
Jim Hogg,TX,402.1,378.1 - 427.2 (645)
Roberts,SD,402.1,378.1 - 427.2 (645)
Cortland,NY,402.2,378.1 - 427.2 (645)
Red Willow,NE,402.2,378.1 - 427.2 (645)
Lincoln,ME,402.2,378.1 - 427.2 (645)
Wilkes,NC,402.4,378.1 - 427.2 (645)
Ulster,NY,402.5,378.1 - 427.2 (645)
Windham,CT,402.5,378.1 - 427.2 (645)
Scott,IA,402.8,378.1 - 427.2 (645)
Knox,ME,402.9,378.1 - 427.2 (645)
Montour,PA,403,378.1 - 427.2 (645)
Fremont,WY,403.1,378.1 - 427.2 (645)
Seward,NE,403.1,378.1 - 427.2 (645)
Shelby,AL,403.1,378.1 - 427.2 (645)
Colusa,CA,403.1,378.1 - 427.2 (645)
Belknap,NH,403.3,378.1 - 427.2 (645)
Alamance,NC,403.3,378.1 - 427.2 (645)
Greene,OH,403.3,378.1 - 427.2 (645)
Mineral,MT,403.5,378.1 - 427.2 (645)
Christian,MO,403.6,378.1 - 427.2 (645)
Hillsborough,FL,403.6,378.1 - 427.2 (645)
Rock,MN,403.7,378.1 - 427.2 (645)
Platte,NE,403.7,378.1 - 427.2 (645)
Polk,NE,403.7,378.1 - 427.2 (645)
Bath,VA,403.7,378.1 - 427.2 (645)
Greenville,SC,403.7,378.1 - 427.2 (645)
Providence,RI,403.8,378.1 - 427.2 (645)
Miner,SD,403.8,378.1 - 427.2 (645)
Lake,OR,403.9,378.1 - 427.2 (645)
Okaloosa,FL,403.9,378.1 - 427.2 (645)
Washington,KS,403.9,378.1 - 427.2 (645)
Ellis,KS,404,378.1 - 427.2 (645)
Sanborn,SD,404,378.1 - 427.2 (645)
Walworth,WI,404,378.1 - 427.2 (645)
Forsyth,NC,404.1,378.1 - 427.2 (645)
Campbell,WY,404.3,378.1 - 427.2 (645)
Woodford,KY,404.4,378.1 - 427.2 (645)
Hamilton,IA,404.4,378.1 - 427.2 (645)
Dixon,NE,404.7,378.1 - 427.2 (645)
Stanton,KS,404.8,378.1 - 427.2 (645)
Fairbanks North Star,AK,404.9,378.1 - 427.2 (645)
Vernon,WI,404.9,378.1 - 427.2 (645)
Conejos,CO,405,378.1 - 427.2 (645)
Winneshiek,IA,405,378.1 - 427.2 (645)
Menard,IL,405,378.1 - 427.2 (645)
Jerauld,SD,405.2,378.1 - 427.2 (645)
Franklin,PA,405.2,378.1 - 427.2 (645)
Charlottesville,VA,405.3,378.1 - 427.2 (645)
Carroll,IA,405.3,378.1 - 427.2 (645)
Traverse,MN,405.4,378.1 - 427.2 (645)
Graham,AZ,405.5,378.1 - 427.2 (645)
Oconee,GA,405.5,378.1 - 427.2 (645)
Towns,GA,405.5,378.1 - 427.2 (645)
Greeley,KS,405.6,378.1 - 427.2 (645)
Davie,NC,405.7,378.1 - 427.2 (645)
Davis,UT,405.9,378.1 - 427.2 (645)
Brookings,SD,406,378.1 - 427.2 (645)
Lincoln,KS,406,378.1 - 427.2 (645)
Muscatine,IA,406.2,378.1 - 427.2 (645)
Madera,CA,406.2,378.1 - 427.2 (645)
Greeley,NE,406.2,378.1 - 427.2 (645)
Powder River,MT,406.3,378.1 - 427.2 (645)
Dodge,WI,406.5,378.1 - 427.2 (645)
Morgan,WV,406.6,378.1 - 427.2 (645)
New Castle,DE,406.6,378.1 - 427.2 (645)
Washington,IA,406.6,378.1 - 427.2 (645)
Osborne,KS,406.9,378.1 - 427.2 (645)
Brown,WI,406.9,378.1 - 427.2 (645)
Yankton,SD,407.1,378.1 - 427.2 (645)
Hampshire,WV,407.2,378.1 - 427.2 (645)
Langlade,WI,407.3,378.1 - 427.2 (645)
Pike,PA,407.3,378.1 - 427.2 (645)
Phillips,KS,407.4,378.1 - 427.2 (645)
Adair,IA,407.4,378.1 - 427.2 (645)
Tioga,NY,407.4,378.1 - 427.2 (645)
Adams,NE,407.6,378.1 - 427.2 (645)
Holt,MO,407.7,378.1 - 427.2 (645)
Buffalo,WI,407.7,378.1 - 427.2 (645)
Penobscot,ME,407.8,378.1 - 427.2 (645)
Kennebec,ME,407.8,378.1 - 427.2 (645)
Medina,OH,407.8,378.1 - 427.2 (645)
Hardin,IA,407.9,378.1 - 427.2 (645)
Calumet,WI,408,378.1 - 427.2 (645)
Washington,NY,408.1,378.1 - 427.2 (645)
Orange,FL,408.2,378.1 - 427.2 (645)
Bandera,TX,408.2,378.1 - 427.2 (645)
Comal,TX,408.3,378.1 - 427.2 (645)
Cass,MO,408.3,378.1 - 427.2 (645)
Shelby,IA,408.6,378.1 - 427.2 (645)
Johnson,WY,408.8,378.1 - 427.2 (645)
Floyd,VA,408.9,378.1 - 427.2 (645)
Minnehaha,SD,408.9,378.1 - 427.2 (645)
Surry,VA,409,378.1 - 427.2 (645)
Rabun,GA,409.1,378.1 - 427.2 (645)
Wayne,UT,409.3,378.1 - 427.2 (645)
Jefferson,KS,409.5,378.1 - 427.2 (645)
Fillmore,NE,409.5,378.1 - 427.2 (645)
Yancey,NC,409.5,378.1 - 427.2 (645)
Iredell,NC,409.6,378.1 - 427.2 (645)
Lexington,SC,409.6,378.1 - 427.2 (645)
Rusk,WI,409.6,378.1 - 427.2 (645)
Essex,NJ,409.8,378.1 - 427.2 (645)
Androscoggin,ME,410.1,378.1 - 427.2 (645)
Union,NM,410.2,378.1 - 427.2 (645)
Valley,NE,410.3,378.1 - 427.2 (645)
McIntosh,GA,410.3,378.1 - 427.2 (645)
Carbon,WY,410.3,378.1 - 427.2 (645)
Pecos,TX,410.3,378.1 - 427.2 (645)
Boone,IL,410.4,378.1 - 427.2 (645)
Graham,KS,410.6,378.1 - 427.2 (645)
Garden,NE,410.6,378.1 - 427.2 (645)
Moody,SD,410.8,378.1 - 427.2 (645)
Isle of Wight,VA,410.9,378.1 - 427.2 (645)
Clarke,VA,411,378.1 - 427.2 (645)
Rutland,VT,411,378.1 - 427.2 (645)
Orange,VA,411.1,378.1 - 427.2 (645)
Lancaster,SC,411.2,378.1 - 427.2 (645)
Dawson,GA,411.3,378.1 - 427.2 (645)
Lycoming,PA,411.4,378.1 - 427.2 (645)
Garfield,UT,411.5,378.1 - 427.2 (645)
Braxton,WV,411.5,378.1 - 427.2 (645)
Miami,KS,411.5,378.1 - 427.2 (645)
Piatt,IL,411.5,378.1 - 427.2 (645)
Clay,FL,411.6,378.1 - 427.2 (645)
Lorain,OH,411.8,378.1 - 427.2 (645)
Kendall,TX,412,378.1 - 427.2 (645)
Sullivan,NY,412.3,378.1 - 427.2 (645)
Franklin,NE,412.4,378.1 - 427.2 (645)
Ford,KS,412.4,378.1 - 427.2 (645)
Dickinson,IA,412.6,378.1 - 427.2 (645)
Clay,IA,412.7,378.1 - 427.2 (645)
Waldo,ME,412.7,378.1 - 427.2 (645)
Somervell,TX,412.7,378.1 - 427.2 (645)
Walton,FL,412.8,378.1 - 427.2 (645)
Union,GA,412.9,378.1 - 427.2 (645)
Shelby,KY,412.9,378.1 - 427.2 (645)
Grant,KS,413,378.1 - 427.2 (645)
Ida,IA,413,378.1 - 427.2 (645)
Rankin,MS,413.1,378.1 - 427.2 (645)
Hamilton,NY,413.1,378.1 - 427.2 (645)
Bennington,VT,413.1,378.1 - 427.2 (645)
Williams,ND,413.2,378.1 - 427.2 (645)
Garrard,KY,413.2,378.1 - 427.2 (645)
Queens,NY,413.4,378.1 - 427.2 (645)
Green Lake,WI,413.4,378.1 - 427.2 (645)
Perkins,SD,413.5,378.1 - 427.2 (645)
White Pine,NV,413.5,378.1 - 427.2 (645)
Shawnee,KS,413.5,378.1 - 427.2 (645)
Porter,IN,413.6,378.1 - 427.2 (645)
Lake,SD,413.6,378.1 - 427.2 (645)
Wilson,TN,413.6,378.1 - 427.2 (645)
Botetourt,VA,413.6,378.1 - 427.2 (645)
St. Mary's,MD,413.7,378.1 - 427.2 (645)
Broward,FL,413.8,378.1 - 427.2 (645)
Washington,ID,413.9,378.1 - 427.2 (645)
Louisa,IA,414,378.1 - 427.2 (645)
Nelson,ND,414,378.1 - 427.2 (645)
Erie,PA,414,378.1 - 427.2 (645)
Sherman,OR,414.1,378.1 - 427.2 (645)
Wexford,MI,414.1,378.1 - 427.2 (645)
Sussex,NJ,414.2,378.1 - 427.2 (645)
Pottawattamie,IA,414.2,378.1 - 427.2 (645)
Genesee,NY,414.3,378.1 - 427.2 (645)
Asotin,WA,414.3,378.1 - 427.2 (645)
Albany,NY,414.4,378.1 - 427.2 (645)
Telfair,GA,414.4,378.1 - 427.2 (645)
Del Norte,CA,414.6,378.1 - 427.2 (645)
Antrim,MI,414.7,378.1 - 427.2 (645)
Columbia,NY,415,378.1 - 427.2 (645)
Harvey,KS,415,378.1 - 427.2 (645)
Harding,SD,415,378.1 - 427.2 (645)
Sauk,WI,415.1,378.1 - 427.2 (645)
Stone,AR,415.3,378.1 - 427.2 (645)
Dutchess,NY,415.6,378.1 - 427.2 (645)
Charles City,VA,415.6,378.1 - 427.2 (645)
Wilson,TX,415.6,378.1 - 427.2 (645)
Madison,NE,415.7,378.1 - 427.2 (645)
Callaway,MO,415.9,378.1 - 427.2 (645)
Grundy,IL,416.1,378.1 - 427.2 (645)
Wadena,MN,416.4,378.1 - 427.2 (645)
Ingham,MI,416.4,378.1 - 427.2 (645)
York,SC,416.4,378.1 - 427.2 (645)
Livingston,MO,416.6,378.1 - 427.2 (645)
Harney,OR,416.8,378.1 - 427.2 (645)
Montgomery,TX,416.8,378.1 - 427.2 (645)
Sheridan,WY,416.8,378.1 - 427.2 (645)
Harris,TX,417.2,378.1 - 427.2 (645)
Kinney,TX,417.3,378.1 - 427.2 (645)
Otero,NM,417.3,378.1 - 427.2 (645)
Faribault,MN,417.3,378.1 - 427.2 (645)
Sedgwick,KS,417.6,378.1 - 427.2 (645)
Oglethorpe,GA,417.6,378.1 - 427.2 (645)
Edwards,KS,417.7,378.1 - 427.2 (645)
Schoolcraft,MI,417.8,378.1 - 427.2 (645)
Yadkin,NC,417.8,378.1 - 427.2 (645)
Uinta,WY,417.8,378.1 - 427.2 (645)
Hancock,IL,417.9,378.1 - 427.2 (645)
Jackson,IL,417.9,378.1 - 427.2 (645)
Manassas,VA,418,378.1 - 427.2 (645)
Wells,ND,418.1,378.1 - 427.2 (645)
Harper,KS,418.2,378.1 - 427.2 (645)
Wasco,OR,418.5,378.1 - 427.2 (645)
Kenton,KY,418.6,378.1 - 427.2 (645)
Tipton,IN,418.7,378.1 - 427.2 (645)
Cayuga,NY,418.8,378.1 - 427.2 (645)
Webster,NE,418.8,378.1 - 427.2 (645)
Emmet,MI,418.8,378.1 - 427.2 (645)
Will,IL,418.9,378.1 - 427.2 (645)
Campbell,KY,418.9,378.1 - 427.2 (645)
Chouteau,MT,419,378.1 - 427.2 (645)
Maverick,TX,419,378.1 - 427.2 (645)
Pierce,ND,419.2,378.1 - 427.2 (645)
Monroe,IL,419.2,378.1 - 427.2 (645)
Pratt,KS,419.4,378.1 - 427.2 (645)
Griggs,ND,419.4,378.1 - 427.2 (645)
Juniata,PA,419.4,378.1 - 427.2 (645)
McCook,SD,419.5,378.1 - 427.2 (645)
Uintah,UT,419.6,378.1 - 427.2 (645)
Brown,NE,419.7,378.1 - 427.2 (645)
Sacramento,CA,419.8,378.1 - 427.2 (645)
Glasscock,TX,419.8,378.1 - 427.2 (645)
Hamilton,KS,419.9,378.1 - 427.2 (645)
Monroe,PA,420,378.1 - 427.2 (645)
Orleans,VT,420.1,378.1 - 427.2 (645)
Williamson,IL,420.1,378.1 - 427.2 (645)
Gila,AZ,420.1,378.1 - 427.2 (645)
Oneida,WI,420.2,378.1 - 427.2 (645)
Kent,MI,420.3,378.1 - 427.2 (645)
Luce,MI,420.3,378.1 - 427.2 (645)
Atchison,MO,420.5,378.1 - 427.2 (645)
Warren,OH,420.5,378.1 - 427.2 (645)
Hendricks,IN,420.5,378.1 - 427.2 (645)
Douglas,SD,420.5,378.1 - 427.2 (645)
Ottawa,KS,420.6,378.1 - 427.2 (645)
Antelope,NE,420.6,378.1 - 427.2 (645)
Graham,NC,420.7,378.1 - 427.2 (645)
Franklin,IN,420.7,378.1 - 427.2 (645)
Benewah,ID,420.8,378.1 - 427.2 (645)
Adams,PA,420.9,378.1 - 427.2 (645)
Johnson,IL,421,378.1 - 427.2 (645)
Clay,NC,421.1,378.1 - 427.2 (645)
Boone,IA,421.2,378.1 - 427.2 (645)
Benton,AR,421.2,378.1 - 427.2 (645)
Grays Harbor,WA,421.2,378.1 - 427.2 (645)
Rockdale,GA,421.3,378.1 - 427.2 (645)
Fayette,IL,421.3,378.1 - 427.2 (645)
Cheyenne,NE,421.3,378.1 - 427.2 (645)
Schoharie,NY,421.4,378.1 - 427.2 (645)
Sac,IA,421.4,378.1 - 427.2 (645)
Oconto,WI,421.4,378.1 - 427.2 (645)
Burlington,NJ,421.5,378.1 - 427.2 (645)
Baxter,AR,421.7,378.1 - 427.2 (645)
Marion,KS,421.8,378.1 - 427.2 (645)
St. Tammany,LA,421.8,378.1 - 427.2 (645)
Cassia,ID,421.9,378.1 - 427.2 (645)
Harrison,IA,422.1,378.1 - 427.2 (645)
Lake,CA,422.5,378.1 - 427.2 (645)
Washington,VA,422.5,378.1 - 427.2 (645)
Bedford County,VA,422.5,378.1 - 427.2 (645)
Tuolumne,CA,422.8,378.1 - 427.2 (645)
Adams,IN,422.8,378.1 - 427.2 (645)
Long,GA,423,378.1 - 427.2 (645)
Catawba,NC,423,378.1 - 427.2 (645)
Suffolk,NY,423.1,378.1 - 427.2 (645)
Putnam,OH,423.1,378.1 - 427.2 (645)
Habersham,GA,423.1,378.1 - 427.2 (645)
Smith,KS,423.1,378.1 - 427.2 (645)
Wheeler,OR,423.2,378.1 - 427.2 (645)
Nodaway,MO,423.2,378.1 - 427.2 (645)
Washington,PA,423.2,378.1 - 427.2 (645)
Delaware,PA,423.3,378.1 - 427.2 (645)
Harford,MD,423.3,378.1 - 427.2 (645)
Palo Alto,IA,423.3,378.1 - 427.2 (645)
Nez Perce,ID,423.3,378.1 - 427.2 (645)
Chippewa,MI,423.5,378.1 - 427.2 (645)
Haywood,NC,423.5,378.1 - 427.2 (645)
Montgomery,NC,423.5,378.1 - 427.2 (645)
Alger,MI,423.6,378.1 - 427.2 (645)
Charlton,GA,423.6,378.1 - 427.2 (645)
Buena Vista,IA,423.8,378.1 - 427.2 (645)
West Feliciana,LA,423.8,378.1 - 427.2 (645)
Broome,NY,423.8,378.1 - 427.2 (645)
Linn,OR,423.8,378.1 - 427.2 (645)
Curry,OR,423.9,378.1 - 427.2 (645)
Cole,MO,423.9,378.1 - 427.2 (645)
Nueces,TX,423.9,378.1 - 427.2 (645)
Hyde,SD,424,378.1 - 427.2 (645)
Carroll,IN,424.1,378.1 - 427.2 (645)
Nassau,FL,424.1,378.1 - 427.2 (645)
Logan,IL,424.4,378.1 - 427.2 (645)
Charlevoix,MI,424.5,378.1 - 427.2 (645)
Lincoln,NC,424.5,378.1 - 427.2 (645)
Dare,NC,424.5,378.1 - 427.2 (645)
Edwards,TX,424.6,378.1 - 427.2 (645)
Kimble,TX,424.7,378.1 - 427.2 (645)
Warren,NJ,424.8,378.1 - 427.2 (645)
Steuben,IN,424.8,378.1 - 427.2 (645)
Manistee,MI,424.9,378.1 - 427.2 (645)
Dorchester,SC,425.1,378.1 - 427.2 (645)
Lee,AL,425.3,378.1 - 427.2 (645)
Mesa,CO,425.4,378.1 - 427.2 (645)
Nuckolls,NE,425.6,378.1 - 427.2 (645)
Scott,IL,425.8,378.1 - 427.2 (645)
Aiken,SC,425.8,378.1 - 427.2 (645)
La Paz,AZ,425.9,378.1 - 427.2 (645)
Otsego,NY,425.9,378.1 - 427.2 (645)
Eaton,MI,425.9,378.1 - 427.2 (645)
Kiowa,KS,426.1,378.1 - 427.2 (645)
Pocahontas,WV,426.1,378.1 - 427.2 (645)
Franklin,VT,426.3,378.1 - 427.2 (645)
Hidalgo,NM,426.3,378.1 - 427.2 (645)
Christian,IL,426.4,378.1 - 427.2 (645)
Polk,FL,426.4,378.1 - 427.2 (645)
Washington,ME,426.5,378.1 - 427.2 (645)
Franklin,NY,426.7,378.1 - 427.2 (645)
Lumpkin,GA,426.7,378.1 - 427.2 (645)
Davison,SD,426.8,378.1 - 427.2 (645)
Sussex,DE,426.9,378.1 - 427.2 (645)
Effingham,IL,426.9,378.1 - 427.2 (645)
Andrew,MO,426.9,378.1 - 427.2 (645)
Perry,PA,427.1,378.1 - 427.2 (645)
Boone,NE,427.2,378.1 - 427.2 (645)
Craven,NC,427.2,378.1 - 427.2 (645)
Kershaw,SC,427.3,427.3 - 473.8 (643)
Gates,NC,427.4,427.3 - 473.8 (643)
Harrison,IN,427.4,427.3 - 473.8 (643)
Barry,MI,427.5,427.3 - 473.8 (643)
San Saba,TX,427.5,427.3 - 473.8 (643)
Butte,ID,427.7,427.3 - 473.8 (643)
Foster,ND,427.9,427.3 - 473.8 (643)
Rock,WI,427.9,427.3 - 473.8 (643)
Grant,WA,428,427.3 - 473.8 (643)
Saluda,SC,428,427.3 - 473.8 (643)
Tarrant,TX,428.1,427.3 - 473.8 (643)
Tyler,WV,428.1,427.3 - 473.8 (643)
Prowers,CO,428.1,427.3 - 473.8 (643)
Barrow,GA,428.1,427.3 - 473.8 (643)
Lake and Peninsula,AK,428.1,427.3 - 473.8 (643)
Tama,IA,428.2,427.3 - 473.8 (643)
Potter,PA,428.2,427.3 - 473.8 (643)
Mackinac,MI,428.3,427.3 - 473.8 (643)
Nance,NE,428.4,427.3 - 473.8 (643)
Saline,NE,428.5,427.3 - 473.8 (643)
Aurora,SD,428.5,427.3 - 473.8 (643)
Dickinson,MI,428.6,427.3 - 473.8 (643)
Prince of Wales-Hyder,AK,428.6,427.3 - 473.8 (643)
Brevard,FL,428.7,427.3 - 473.8 (643)
Cleveland,OK,428.8,427.3 - 473.8 (643)
Fannin,GA,428.9,427.3 - 473.8 (643)
Sumner,KS,429,427.3 - 473.8 (643)
Warren,PA,429,427.3 - 473.8 (643)
Coweta,GA,429.1,427.3 - 473.8 (643)
Lincoln,LA,429.2,427.3 - 473.8 (643)
American Samoa,AS,429.2,427.3 - 473.8 (643)
Richardson,NE,429.3,427.3 - 473.8 (643)
Anne Arundel,MD,429.4,427.3 - 473.8 (643)
Baca,CO,429.5,427.3 - 473.8 (643)
Tippecanoe,IN,429.6,427.3 - 473.8 (643)
Klamath,OR,429.6,427.3 - 473.8 (643)
Delta,MI,429.7,427.3 - 473.8 (643)
Winnebago,IA,429.7,427.3 - 473.8 (643)
Trinity,CA,429.7,427.3 - 473.8 (643)
Wheeler,NE,429.8,427.3 - 473.8 (643)
Hand,SD,429.8,427.3 - 473.8 (643)
Nassau,NY,429.9,427.3 - 473.8 (643)
Huntingdon,PA,430,427.3 - 473.8 (643)
Berkeley,WV,430,427.3 - 473.8 (643)
Poquoson,VA,430,427.3 - 473.8 (643)
Caroline,VA,430.1,427.3 - 473.8 (643)
Shawano,WI,430.1,427.3 - 473.8 (643)
Guadalupe,NM,430.2,427.3 - 473.8 (643)
Clay,NE,430.2,427.3 - 473.8 (643)
Muskegon,MI,430.3,427.3 - 473.8 (643)
Carteret,NC,430.4,427.3 - 473.8 (643)
Lassen,CA,430.4,427.3 - 473.8 (643)
Trempealeau,WI,430.4,427.3 - 473.8 (643)
Cumberland,PA,430.4,427.3 - 473.8 (643)
Calhoun,SC,430.5,427.3 - 473.8 (643)
Kossuth,IA,430.6,427.3 - 473.8 (643)
Sangamon,IL,430.8,427.3 - 473.8 (643)
Gadsden,FL,430.8,427.3 - 473.8 (643)
Weber,UT,430.8,427.3 - 473.8 (643)
Marquette,MI,430.9,427.3 - 473.8 (643)
Sevier,UT,431,427.3 - 473.8 (643)
Garfield,NE,431.1,427.3 - 473.8 (643)
Gem,ID,431.1,427.3 - 473.8 (643)
Butler,PA,431.2,427.3 - 473.8 (643)
Spencer,KY,431.4,427.3 - 473.8 (643)
Osceola,FL,431.5,427.3 - 473.8 (643)
Macon,IL,431.7,427.3 - 473.8 (643)
Rosebud,MT,431.8,427.3 - 473.8 (643)
Jefferson,WV,431.9,427.3 - 473.8 (643)
Uvalde,TX,432,427.3 - 473.8 (643)
Ramsey,ND,432,427.3 - 473.8 (643)
Benson,ND,432.1,427.3 - 473.8 (643)
Shelby,IN,432.1,427.3 - 473.8 (643)
Mathews,VA,432.1,427.3 - 473.8 (643)
Tom Green,TX,432.2,427.3 - 473.8 (643)
Madison,OH,432.2,427.3 - 473.8 (643)
Sheboygan,WI,432.3,427.3 - 473.8 (643)
Menominee,MI,432.4,427.3 - 473.8 (643)
Shelby,IL,432.4,427.3 - 473.8 (643)
Schley,GA,432.6,427.3 - 473.8 (643)
Pittsylvania,VA,432.6,427.3 - 473.8 (643)
Rockwall,TX,432.6,427.3 - 473.8 (643)
Bradford,PA,432.8,427.3 - 473.8 (643)
Allegany,NY,432.8,427.3 - 473.8 (643)
Jefferson,KY,433,427.3 - 473.8 (643)
Leon,TX,433.1,427.3 - 473.8 (643)
Yellowstone,MT,433.2,427.3 - 473.8 (643)
Sutter,CA,433.4,427.3 - 473.8 (643)
Lincoln,NV,433.5,427.3 - 473.8 (643)
Nemaha,NE,433.5,427.3 - 473.8 (643)
Culberson,TX,433.6,427.3 - 473.8 (643)
Parker,TX,433.7,427.3 - 473.8 (643)
Hutchinson,SD,433.7,427.3 - 473.8 (643)
Putnam,FL,433.7,427.3 - 473.8 (643)
Golden Valley,MT,433.8,427.3 - 473.8 (643)
Westmoreland,VA,433.8,427.3 - 473.8 (643)
Price,WI,433.9,427.3 - 473.8 (643)
Rooks,KS,433.9,427.3 - 473.8 (643)
Montgomery,IL,433.9,427.3 - 473.8 (643)
Delta,CO,434,427.3 - 473.8 (643)
Pamlico,NC,434,427.3 - 473.8 (643)
Cook,IL,434.3,427.3 - 473.8 (643)
Vanderburgh,IN,434.3,427.3 - 473.8 (643)
Logan,KY,434.3,427.3 - 473.8 (643)
Meade,KS,434.4,427.3 - 473.8 (643)
Peoria,IL,434.4,427.3 - 473.8 (643)
Banks,GA,434.4,427.3 - 473.8 (643)
Butler,KS,434.5,427.3 - 473.8 (643)
Wahkiakum,WA,434.5,427.3 - 473.8 (643)
Chesapeake,VA,435,427.3 - 473.8 (643)
Clark,KS,435,427.3 - 473.8 (643)
Avery,NC,435.2,427.3 - 473.8 (643)
Charles Mix,SD,435.2,427.3 - 473.8 (643)
Bastrop,TX,435.4,427.3 - 473.8 (643)
Franklin,NC,435.4,427.3 - 473.8 (643)
Rensselaer,NY,435.6,427.3 - 473.8 (643)
Calvert,MD,435.7,427.3 - 473.8 (643)
Midland,TX,435.7,427.3 - 473.8 (643)
Johnson,IN,435.9,427.3 - 473.8 (643)
Jefferson,NE,436,427.3 - 473.8 (643)
Lyman,SD,436.1,427.3 - 473.8 (643)
Moultrie,IL,436.2,427.3 - 473.8 (643)
Crook,OR,436.3,427.3 - 473.8 (643)
Westmoreland,PA,436.3,427.3 - 473.8 (643)
Caldwell,TX,436.5,427.3 - 473.8 (643)
Jackson,MO,436.5,427.3 - 473.8 (643)
Treasure,MT,436.6,427.3 - 473.8 (643)
Newaygo,MI,436.6,427.3 - 473.8 (643)
Waller,TX,436.6,427.3 - 473.8 (643)
Tazewell,IL,436.7,427.3 - 473.8 (643)
Barton,KS,436.7,427.3 - 473.8 (643)
Black Hawk,IA,436.8,427.3 - 473.8 (643)
Sawyer,WI,436.8,427.3 - 473.8 (643)
Menard,TX,436.9,427.3 - 473.8 (643)
Adams,WI,437,427.3 - 473.8 (643)
Knox,TN,437.1,427.3 - 473.8 (643)
Hernando,FL,437.1,427.3 - 473.8 (643)
Buchanan,IA,437.2,427.3 - 473.8 (643)
Sutton,TX,437.2,427.3 - 473.8 (643)
Greene,NY,437.3,427.3 - 473.8 (643)
Osage,MO,437.4,427.3 - 473.8 (643)
Cleburne,AR,437.5,427.3 - 473.8 (643)
Riverside,CA,437.6,427.3 - 473.8 (643)
Meade,KY,437.7,427.3 - 473.8 (643)
Union,OH,437.7,427.3 - 473.8 (643)
Cowlitz,WA,437.7,427.3 - 473.8 (643)
Suffolk,VA,437.8,427.3 - 473.8 (643)
Dauphin,PA,437.9,427.3 - 473.8 (643)
Charles,MD,437.9,427.3 - 473.8 (643)
Socorro,NM,438,427.3 - 473.8 (643)
Steuben,NY,438,427.3 - 473.8 (643)
Des Moines,IA,438,427.3 - 473.8 (643)
Licking,OH,438.1,427.3 - 473.8 (643)
Fremont,ID,438.2,427.3 - 473.8 (643)
Gonzales,TX,438.3,427.3 - 473.8 (643)
Oldham,TX,438.4,427.3 - 473.8 (643)
Walker,TX,438.6,427.3 - 473.8 (643)
Piscataquis,ME,438.6,427.3 - 473.8 (643)
Bexar,TX,438.7,427.3 - 473.8 (643)
Susquehanna,PA,438.7,427.3 - 473.8 (643)
Scurry,TX,438.9,427.3 - 473.8 (643)
Wheeler,GA,438.9,427.3 - 473.8 (643)
Tioga,PA,439.2,427.3 - 473.8 (643)
Briscoe,TX,439.3,427.3 - 473.8 (643)
Cass,IN,439.4,427.3 - 473.8 (643)
Saginaw,MI,439.4,427.3 - 473.8 (643)
Kent,MD,439.6,427.3 - 473.8 (643)
Musselshell,MT,439.6,427.3 - 473.8 (643)
Russell,KS,439.6,427.3 - 473.8 (643)
Merced,CA,439.6,427.3 - 473.8 (643)
Kings,CA,439.7,427.3 - 473.8 (643)
Leavenworth,KS,439.8,427.3 - 473.8 (643)
Bartholomew,IN,440,427.3 - 473.8 (643)
Dallas,TX,440.1,427.3 - 473.8 (643)
Keweenaw,MI,440.5,427.3 - 473.8 (643)
Marinette,WI,440.6,427.3 - 473.8 (643)
Menominee,WI,440.7,427.3 - 473.8 (643)
Campbell,VA,440.7,427.3 - 473.8 (643)
Oneida,ID,440.7,427.3 - 473.8 (643)
Atchison,KS,440.8,427.3 - 473.8 (643)
Fountain,IN,440.9,427.3 - 473.8 (643)
Johnston,NC,440.9,427.3 - 473.8 (643)
Santa Rosa,FL,441.1,427.3 - 473.8 (643)
Osage,KS,441.2,427.3 - 473.8 (643)
Cheboygan,MI,441.4,427.3 - 473.8 (643)
Monroe,WV,441.4,427.3 - 473.8 (643)
Ogle,IL,441.5,427.3 - 473.8 (643)
San Joaquin,CA,441.5,427.3 - 473.8 (643)
Gloucester,VA,441.7,427.3 - 473.8 (643)
Cooke,TX,441.7,427.3 - 473.8 (643)
Grant,NE,441.8,427.3 - 473.8 (643)
Forest,WI,441.9,427.3 - 473.8 (643)
Mills,TX,442,427.3 - 473.8 (643)
Kings,NY,442.1,427.3 - 473.8 (643)
Somerset,ME,442.1,427.3 - 473.8 (643)
Anderson,KY,442.2,427.3 - 473.8 (643)
Keokuk,IA,442.5,427.3 - 473.8 (643)
Boyle,KY,442.6,427.3 - 473.8 (643)
Caldwell,MO,442.7,427.3 - 473.8 (643)
Perry,IL,442.8,427.3 - 473.8 (643)
Concho,TX,442.8,427.3 - 473.8 (643)
